# Density of States
# Energy[eV]  DOS[1/eV]
#-----------------------
    -11.37799556  0.000000000000000E+000
    -11.32359619  0.000000000000000E+000
    -11.26919681  0.000000000000000E+000
    -11.21479744  0.000000000000000E+000
    -11.16039806  0.000000000000000E+000
    -11.10599869  0.000000000000000E+000
    -11.05159931  0.000000000000000E+000
    -10.99719994  0.000000000000000E+000
    -10.94280056  0.000000000000000E+000
    -10.88840119  0.000000000000000E+000
    -10.83400181  0.000000000000000E+000
    -10.77960244  0.000000000000000E+000
    -10.72520306  0.000000000000000E+000
    -10.67080369  0.000000000000000E+000
    -10.61640431  0.000000000000000E+000
    -10.56200494  0.000000000000000E+000
    -10.50760556  0.000000000000000E+000
    -10.45320619  0.000000000000000E+000
    -10.39880681  0.000000000000000E+000
    -10.34440743  0.000000000000000E+000
    -10.29000806  0.000000000000000E+000
    -10.23560868  0.000000000000000E+000
    -10.18120931  0.000000000000000E+000
    -10.12680993  0.000000000000000E+000
    -10.07241056  0.000000000000000E+000
    -10.01801118  0.000000000000000E+000
     -9.96361181  0.000000000000000E+000
     -9.90921243  0.000000000000000E+000
     -9.85481306  0.000000000000000E+000
     -9.80041368  0.000000000000000E+000
     -9.74601431  0.000000000000000E+000
     -9.69161493  0.000000000000000E+000
     -9.63721556  0.113100382237725E-298
     -9.58281618  0.535294966817175E-290
     -9.52841681  0.188452536118026E-281
     -9.47401743  0.493503895060946E-273
     -9.41961806  0.961300115049910E-265
     -9.36521868  0.139285934496567E-256
     -9.31081931  0.150118925026316E-248
     -9.25641993  0.120349312496969E-240
     -9.20202056  0.717681660786049E-233
     -9.14762118  0.318346625508322E-225
     -9.09322181  0.105038603731367E-217
     -9.03882243  0.257797120392814E-210
     -8.98442306  0.470638868364484E-203
     -8.93002368  0.639114010800454E-196
     -8.87562430  0.645579836571272E-189
     -8.82122493  0.485068368363722E-182
     -8.76682555  0.271105107292169E-175
     -8.71242618  0.112707971933622E-168
     -8.65802680  0.348541341562905E-162
     -8.60362743  0.801746984215149E-156
     -8.54922805  0.137184335167892E-149
     -8.49482868  0.174605049869467E-143
     -8.44042930  0.165308542491006E-137
     -8.38602993  0.116418332659591E-131
     -8.33163055  0.609869165341817E-126
     -8.27723118  0.237652932792807E-120
     -8.22283180  0.688879504823583E-115
