# Fourier-transform spectra: 
# sigma: Conductivity
# eps: Dielectric constant
# 1:Energy[eV] 2:Re(sigma_x)[1/fs*V*Angstrom] 3:Re(sigma_y)[1/fs*V*Angstrom] 4:Re(sigma_z)[1/fs*V*Angstrom] 5:Im(sigma_x)[1/fs*V*Angstrom] 6:Im(sigma_y)[1/fs*V*Angstrom] 7:Im(sigma_z)[1/fs*V*Angstrom] 8:Re(eps_x)[none] 9:Re(eps_y)[none] 10:Re(eps_z)[none] 11:Im(eps_x)[none] 12:Im(eps_y)[none] 13:Im(eps_z)[none]
      0.01000000  0.159010625511056E-007 -0.257520023446416E-008  0.894873895943045E-002  0.835288703533554E-009 -0.373166427316677E-009  0.103464339093747E-003  0.999981199782072E+000  0.100000839902435E+001 -0.132871833955373E+001  0.357892355042245E-003 -0.579611880436028E-004  0.201413286096795E+003
      0.02000000  0.158002166877172E-007 -0.252866343676941E-008  0.887809469591925E-002  0.166401437394479E-008 -0.743247251988423E-009  0.202279438817062E-003  0.999981273640639E+000  0.100000836429982E+001 -0.127639708045261E+001  0.177811285955595E-003 -0.284568817205143E-004  0.999116319679432E+002
      0.03000000  0.156333307763662E-007 -0.245166777596674E-008  0.876120014516034E-002  0.247969849592578E-008 -0.110719713069239E-008  0.291856432279736E-003  0.999981396104157E+000  0.100000830672767E+001 -0.118964792545808E+001  0.117288798588685E-003 -0.183935958430844E-004  0.657307552638966E+002
      0.04000000  0.154021721814137E-007 -0.234505300289093E-008  0.859931091585881E-002  0.327603021218973E-008 -0.146205058864487E-008  0.367726204307560E-003  0.999981566229237E+000  0.100000822675728E+001 -0.106914470098145E+001  0.866659013675324E-004 -0.131952902393490E-004  0.483871380532871E+002
      0.05000000  0.151091786924277E-007 -0.220997742043173E-008  0.839415865412473E-002  0.404694673424368E-008 -0.180496034055599E-008  0.425596802990118E-003  0.999981782710523E+000  0.100000812501058E+001 -0.915819670931279E+000  0.680138138895765E-004 -0.994819083374409E-005  0.377862196273678E+002
      0.06000000  0.147574227754289E-007 -0.204790089646252E-008  0.814792539666293E-002  0.478670972293456E-008 -0.213323370881995E-008  0.461407946307182E-003  0.999982043895807E+000  0.100000800227483E+001 -0.730852639651658E+000  0.553586568452843E-004 -0.768217084416516E-005  0.305648359404497E+002
      0.07000000  0.143505666957190E-007 -0.186056353151136E-008  0.786321138274596E-002  0.548997641321777E-008 -0.244436655932674E-008  0.471381741445489E-003  0.999982347805093E+000  0.100000785949368E+001 -0.515657217673626E+000  0.461420926558915E-004 -0.598236269573803E-005  0.252829756405203E+002
      0.08000000  0.138928092969929E-007 -0.164996034881028E-008  0.754299689318491E-002  0.615186435550673E-008 -0.273607422070237E-008  0.452068805756678E-003  0.999982692153315E+000  0.100000769775639E+001 -0.271864450987142E+000  0.390864621583723E-004 -0.464204980849675E-005  0.212217022722688E+002
      0.09000000  0.133888253639006E-007 -0.141831244139575E-008  0.719059878736783E-002  0.676800876454015E-008 -0.300631890782900E-008  0.400389064661943E-003  0.999983074376404E+000  0.100000751828551E+001 -0.130405209277762E-002  0.334831449529109E-004 -0.354695499963825E-005  0.179824484188746E+002
      0.10000000  0.128436986195856E-007 -0.116803506965322E-008  0.680962249900074E-002  0.733461160353425E-008 -0.325333323406527E-008  0.313666601388771E-003  0.999983491660311E+000  0.100000732242320E+001  0.294016495386220E+000  0.289078892158483E-004 -0.262894898065199E-005  0.153267231374207E+002
      0.11000000  0.122628495136531E-007 -0.901703252010962E-009  0.640391032580028E-002  0.784848168368825E-008 -0.347563946741387E-008  0.189658044179333E-003  0.999983940972588E+000  0.100000711161620E+001  0.611934657791850E+000  0.250914055006447E-004 -0.184500363575913E-005  0.131032441192009E+002
      0.12000000  0.116519590375711E-007 -0.622015430495144E-009  0.597748690661478E-002  0.830706522380017E-008 -0.367206426256149E-008  0.265740962582389E-004  0.999984419096067E+000  0.100000688739994E+001  0.950157073558169E+000  0.218546561873321E-004 -0.116666505030217E-005  0.112114984945550E+002
      0.13000000  0.110168898622406E-007 -0.331755820875323E-009  0.553450282028208E-002  0.870846648850504E-008 -0.384174868173093E-008 -0.176906060054780E-003  0.999984922664177E+000  0.100000665138174E+001  0.130628493318879E+001  0.190740067036696E-004 -0.574382863991919E-006  0.958211847586434E+001
      0.14000000  0.103636061254116E-007 -0.337560736950525E-010  0.507917726326420E-002  0.905145830298015E-008 -0.398415340104257E-008 -0.421627623723279E-003  0.999985448197394E+000  0.100000640522355E+001  0.167784016104140E+001  0.166613097666228E-004 -0.542687934616849E-007  0.816566595823525E+001
      0.15000000  0.969809320434311E-008  0.269143122629228E-009  0.461574076747130E-002  0.933548242329834E-008 -0.409905908394428E-008 -0.707960307264072E-003  0.999985992140340E+000  0.100000615062423E+001  0.206229203584702E+001  0.145519559051112E-004  0.403848341126533E-006  0.692590334021398E+001
      0.16000000  0.902627879167156E-008  0.574129872238261E-009  0.414837890575807E-002  0.956063992135819E-008 -0.418656198758974E-008 -0.103580561844767E-002  0.999986550899012E+000  0.100000588930191E+001  0.245708388574971E+001  0.126974068699681E-004  0.807637427589580E-006  0.583558917610705E+001
      0.17000000  0.835395655046456E-008  0.878457729592138E-009  0.368117790085320E-002  0.972767191795062E-008 -0.424706495020033E-008 -0.140461104306264E-002  0.999987120877649E+000  0.100000562297635E+001  0.285965949835250E+001  0.110603677257311E-004  0.116304956365372E-005  0.487376023580194E+001
      0.18000000  0.768671355898082E-008  0.117948060752688E-008  0.321807300477924E-002  0.983793116364641E-008 -0.428126398587326E-008 -0.181339076088818E-002  0.999987698514760E+000  0.100000535335172E+001  0.326748889662861E+001  0.961157298387072E-005  0.147483887038558E-005  0.402392300890693E+001
      0.19000000  0.702986266830108E-008  0.147468539799488E-008  0.276280045133502E-002  0.989334512162295E-008 -0.429013078652256E-008 -0.226075241626750E-002  0.999988280317834E+000  0.100000508210000E+001  0.367809314736698E+001  0.832759346111453E-005  0.174691612866331E-005  0.327282054550605E+001
      0.20000000  0.638838078873242E-008  0.176172181668598E-008  0.231885370545072E-002  0.989637134638421E-008 -0.427489149730753E-008 -0.274492936474656E-002  0.999988862896312E+000  0.100000481084513E+001  0.408906788969727E+001  0.718930775235243E-005  0.198259320053807E-005  0.260957408026954E+001
      0.21000000  0.576685399610501E-008  0.203842903985001E-008  0.188944464194756E-002  0.984994607498763E-008 -0.423700219080810E-008 -0.326381772999931E-002  0.999989442992413E+000  0.100000454114814E+001  0.449810529676378E+001  0.618081773501568E-005  0.218475417785598E-005  0.202507519007200E+001
      0.22000000  0.516943020949447E-008  0.230285876586053E-008  0.147747018448031E-002  0.975742705068643E-008 -0.417812151531353E-008 -0.381501753224832E-002  0.999990017509450E+000  0.100000427449350E+001  0.490301421325993E+001  0.528866759105601E-005  0.235597619625797E-005  0.151154931293225E+001
      0.23000000  0.459978004049949E-008  0.255329440402767E-008  0.108548482541369E-002  0.962253168105847E-008 -0.410008103305285E-008 -0.439587709185496E-002  0.999990583537329E+000  0.100000401227674E+001  0.530173824472379E+001  0.450127455888083E-005  0.249861494266898E-005  0.106223888656973E+001
