# Density of States
# Energy[eV]  DOS[1/eV]
#-----------------------
    -11.80090810  0.000000000000000E+000
    -11.74566278  0.000000000000000E+000
    -11.69041745  0.000000000000000E+000
    -11.63517213  0.000000000000000E+000
    -11.57992680  0.000000000000000E+000
    -11.52468147  0.000000000000000E+000
    -11.46943615  0.000000000000000E+000
    -11.41419082  0.000000000000000E+000
    -11.35894550  0.000000000000000E+000
    -11.30370017  0.000000000000000E+000
    -11.24845484  0.000000000000000E+000
    -11.19320952  0.000000000000000E+000
    -11.13796419  0.000000000000000E+000
    -11.08271886  0.000000000000000E+000
    -11.02747354  0.000000000000000E+000
    -10.97222821  0.000000000000000E+000
    -10.91698289  0.000000000000000E+000
    -10.86173756  0.000000000000000E+000
    -10.80649223  0.000000000000000E+000
    -10.75124691  0.000000000000000E+000
    -10.69600158  0.000000000000000E+000
    -10.64075626  0.000000000000000E+000
    -10.58551093  0.000000000000000E+000
    -10.53026560  0.000000000000000E+000
    -10.47502028  0.000000000000000E+000
    -10.41977495  0.000000000000000E+000
    -10.36452962  0.000000000000000E+000
    -10.30928430  0.000000000000000E+000
    -10.25403897  0.000000000000000E+000
    -10.19879365  0.000000000000000E+000
    -10.14354832  0.000000000000000E+000
    -10.08830299  0.000000000000000E+000
    -10.03305767  0.000000000000000E+000
     -9.97781234  0.486597941272404E-299
     -9.92256702  0.317437359718729E-290
     -9.86732169  0.152615027984078E-281
     -9.81207636  0.540739492673000E-273
     -9.75683104  0.141198618039883E-264
     -9.70158571  0.271721762069583E-256
     -9.64634039  0.385363057507358E-248
     -9.59109506  0.402779622776029E-240
     -9.53584973  0.310253541297661E-232
     -9.48060441  0.176123763443596E-224
     -9.42535908  0.736836703215944E-217
     -9.37011375  0.227183500473404E-209
     -9.31486843  0.516219917052963E-202
     -9.25962310  0.864460972355671E-195
     -9.20437778  0.106686377496739E-187
     -9.14913245  0.970344230187832E-181
     -9.09388712  0.650423725592178E-174
     -9.03864180  0.321307676586763E-167
     -8.98339647  0.116977033427117E-160
     -8.92815115  0.313859730638895E-154
     -8.87290582  0.620621693939284E-148
     -8.81766049  0.904431574110344E-142
     -8.76241517  0.971366569481744E-136
     -8.70716984  0.768866243308038E-130
     -8.65192451  0.448518629088330E-124
     -8.59667919  0.192829937637439E-118
     -8.54143386  0.610991844495445E-113
     -8.48618854  0.142681149290416E-107
     -8.43094321  0.245568099371491E-102
     -8.37569788  0.311498680256653E-097
     -8.32045256  0.291222628830087E-092
     -8.26520723  0.200671451049552E-087
